word,POS,lemma,porter,snowball,lancaster
unlearning,JJ,unlearning,unlearn,unlearn,unlearn
perfectionism,NN,perfectionism,perfection,perfection,perfect
common,JJ,common,common,common,common
idea,NN,idea,idea,idea,ide
perfectionism,NN,perfectionism,perfection,perfection,perfect
need,VBP,need,need,need,nee
perfect,JJ,perfect,perfect,perfect,perfect
results,NNS,result,result,result,result
maximum,JJ,maximum,maximum,maximum,maxim
test,NN,test,test,test,test
score,NN,score,score,score,scor
flawless,NN,flawless,flawless,flawless,flawless
recital,VBP,recital,recit,recit,recit
unanimous,JJ,unanimous,unanim,unanim,unanim
verdict,NN,verdict,verdict,verdict,verdict
idea,NN,idea,idea,idea,ide
misses,VBZ,miss,miss,miss,miss
deeper,JJR,deeper,deeper,deeper,deep
reality,NN,reality,realiti,realiti,real
generally,RB,generally,gener,general,gen
perfectionism,NN,perfectionism,perfection,perfection,perfect
tendency,NN,tendency,tendenc,tendenc,tend
stake,NN,stake,stake,stake,stak
identity,NN,identity,ident,ident,id
achieving,VBG,achieving,achiev,achiev,achiev
fixed,VBN,fixed,fix,fix,fix
outcomes,NNS,outcome,outcom,outcom,outcom
fixed,VBN,fixed,fix,fix,fix
outcomes,RB,outcome,outcom,outcom,outcom
vary,JJ,vary,vari,vari,vary
person,NN,person,person,person,person
perfect,JJ,perfect,perfect,perfect,perfect
performance,NN,performance,perform,perform,perform
stereotype,NN,stereotype,stereotyp,stereotyp,stereotyp
fixed,VBN,fixed,fix,fix,fix
outcome,NN,outcome,outcom,outcom,outcom
might,MD,might,might,might,might
feeling,VB,feeling,feel,feel,feel
smart,JJ,smart,smart,smart,smart
beautiful,NN,beautiful,beauti,beauti,beauty
right,RB,right,right,right,right
getting,VBG,getting,get,get,get
car,NN,car,car,car,car
job,NN,job,job,job,job
weve,VBP,weve,weve,weve,wev
craving,VBG,craving,crave,crave,crav
long,RB,long,long,long,long
every,DT,every,everi,everi,every
perfectionist,NN,perfectionist,perfectionist,perfectionist,perfect
personal,JJ,personal,person,person,person
ideal,NN,ideal,ideal,ideal,id
none,NN,none,none,none,non
outcomes,VBZ,outcome,outcom,outcom,outcom
problems,NNS,problem,problem,problem,problem
become,VBP,become,becom,becom,becom
intertwine,JJ,intertwine,intertwin,intertwin,intertwin
identity,NN,identity,ident,ident,id
selfworth,NN,selfworth,selfworth,selfworth,selfwor
perfectionist,NN,perfectionist,perfectionist,perfectionist,perfect
fame,NN,fame,fame,fame,fam
ever,RB,ever,ever,ever,ev
feels,VBZ,feel,feel,feel,feel
unknown,JJ,unknown,unknown,unknown,unknown
feels,NNS,feel,feel,feel,feel
worthless,NN,worthless,worthless,worthless,worthless
ashamed,VBD,ashamed,asham,asham,asham
hence,JJ,hence,henc,henc,hent
perfectionist,NN,perfectionist,perfectionist,perfectionist,perfect
stakes,NNS,stake,stake,stake,stak
identity,NN,identity,ident,ident,id
achieving,VBG,achieving,achiev,achiev,achiev
outcomes,NNS,outcome,outcom,outcom,outcom
meaning,VBG,meaning,mean,mean,mean
selfworth,JJ,selfworth,selfworth,selfworth,selfwor
depends,NNS,depends,depend,depend,depend
realizing,VBG,realizing,realiz,realiz,real
pitiful,JJ,pitiful,piti,piti,pity
wager,NN,wager,wager,wager,wag
poor,JJ,poor,poor,poor,poor
strategy,NN,strategy,strategi,strategi,strategy
perfectionism,NN,perfectionism,perfection,perfection,perfect
tendency,NN,tendency,tendenc,tendenc,tend
law,NN,law,law,law,law
practice,NN,practice,practic,practic,pract
unlearn,JJ,unlearn,unlearn,unlearn,unlearn
replace,VB,replace,replac,replac,replac
far,RB,far,far,far,far
better,JJR,better,better,better,bet
approaches,NNS,approach,approach,approach,approach
clearly,RB,clearly,clearli,clear,clear
see,VBP,see,see,see,see
tendency,JJ,tendency,tendenc,tendenc,tend
choice,NN,choice,choic,choic,cho
reinforce,NN,reinforce,reinforc,reinforc,reinforc
actions,NNS,action,action,action,act
unlearn,VBP,unlearn,unlearn,unlearn,unlearn
practice,NN,practice,practic,practic,pract
something,NN,something,someth,someth,someth
better,RBR,better,better,better,bet
either,DT,either,either,either,eith
way,NN,way,way,way,way
decision,NN,decision,decis,decis,decid
ii,NN,ii,ii,ii,ii
tendency,NN,tendency,tendenc,tendenc,tend
lets,NNS,let,let,let,let
first,JJ,first,first,first,first
see,VB,see,see,see,see
tendency,NN,tendency,tendenc,tendenc,tend
clearly,RB,clearly,clearli,clear,clear
lets,VBZ,let,let,let,let
enter,JJ,enter,enter,enter,ent
mind,NN,mind,mind,mind,mind
severe,JJ,severe,sever,sever,sev
perfectionist,JJ,perfectionist,perfectionist,perfectionist,perfect
perfectionist,NN,perfectionist,perfectionist,perfectionist,perfect
always,RB,always,alway,alway,alway
done,VBN,done,done,done,don
well,RB,well,well,well,wel
school,NN,school,school,school,school
told,VBD,told,told,told,told
shes,NNS,shes,she,shes,she
smart,JJ,smart,smart,smart,smart
important,JJ,important,import,import,import
people,NNS,people,peopl,peopl,peopl
life,NN,life,life,life,lif
part,NN,part,part,part,part
sees,VBZ,see,see,see,see
success,NN,success,success,success,success
affirms,NNS,affirms,affirm,affirm,affirm
person,NN,person,person,person,person
starts,VBZ,start,start,start,start
new,JJ,new,new,new,new
projects,NNS,project,project,project,project
optimistic,JJ,optimistic,optimist,optimist,optim
brittle,JJ,brittle,brittl,brittl,brittl
confidence,NN,confidence,confid,confid,confid
easy,JJ,easy,easi,easi,easy
tasks,NNS,task,task,task,task
small,JJ,small,small,small,smal
problems,NNS,problem,problem,problem,problem
within,IN,within,within,within,within
grasp,JJ,grasp,grasp,grasp,grasp
handles,NNS,handle,handl,handl,handl
flawlessly,RB,flawlessly,flawlessli,flawless,flawless
difficulties,NNS,difficulty,difficulti,difficulti,difficul
rise,VBP,rise,rise,rise,ris
confidence,NN,confidence,confid,confid,confid
falters,NNS,falter,falter,falter,falt
tendency,VBP,tendency,tendenc,tendenc,tend
milder,NN,milder,milder,milder,mild
could,MD,could,could,could,could
push,VB,push,push,push,push
wants,VBZ,want,want,want,want
preserve,JJ,preserve,preserv,preserv,preserv
selfimage,NN,selfimage,selfimag,selfimag,selfim
badly,RB,badly,badli,bad,bad
refuses,VBZ,refuse,refus,refus,refus
face,NN,face,face,face,fac
imperfect,JJ,imperfect,imperfect,imperfect,imperfect
reality,NN,reality,realiti,realiti,real
feels,NNS,feel,feel,feel,feel
threatened,VBN,threatened,threaten,threaten,threatened
moderate,JJ,moderate,moder,moder,mod
setbacks,NNS,setback,setback,setback,setback
finds,VBZ,find,find,find,find
number,NN,number,number,number,numb
excuses,NNS,excuse,excus,excus,excus
procrastinate,VBP,procrastinate,procrastin,procrastin,procrastin
shes,NNS,shes,she,shes,she
mood,RB,mood,mood,mood,mood
right,JJ,right,right,right,right
place,NN,place,place,place,plac
busy,JJ,busy,busi,busi,busy
inspired,VBN,inspired,inspir,inspir,inspir
hungry,JJ,hungry,hungri,hungri,hungry
full,JJ,full,full,full,ful
alert,NN,alert,alert,alert,alert
tired,VBD,tired,tire,tire,tir
work,NN,work,work,work,work
uncertain,JJ,uncertain,uncertain,uncertain,uncertain
withers,NNS,withers,wither,wither,with
uncertainty,NN,uncertainty,uncertainti,uncertainti,uncertainty
means,VBZ,mean,mean,mean,mean
unknown,JJ,unknown,unknown,unknown,unknown
means,NNS,mean,mean,mean,mean
risk,NN,risk,risk,risk,risk
means,VBZ,mean,mean,mean,mean
failure,NN,failure,failur,failur,fail
means,VBZ,mean,mean,mean,mean
shes,NNS,shes,she,shes,she
worthless,JJ,worthless,worthless,worthless,worthless
thought,VBD,thought,thought,thought,thought
fumbling,VBG,fumbling,fumbl,fumbl,fumbl
void,JJ,void,void,void,void
terrifies,NNS,terrifies,terrifi,terrifi,terr
retreats,VBZ,retreat,retreat,retreat,ret
safe,JJ,safe,safe,safe,saf
familiar,JJ,familiar,familiar,familiar,famili
checks,NNS,check,check,check,check
email,VBP,email,email,email,email
hundredth,JJ,hundredth,hundredth,hundredth,hundred
time,NN,time,time,time,tim
might,MD,might,might,might,might
refuse,VB,refuse,refus,refus,refus
help,NN,help,help,help,help
kind,NN,kind,kind,kind,kind
might,MD,might,might,might,might
procrastinate,VB,procrastinate,procrastin,procrastin,procrastin
resort,NN,resort,resort,resort,resort
lastminute,NN,lastminute,lastminut,lastminut,lastminut
heroics,NNS,heroic,heroic,heroic,hero
might,MD,might,might,might,might
chase,VB,chase,chase,chase,chas
standards,NNS,standard,standard,standard,standard
delusionally,RB,delusionally,delusion,delusion,delud
high,JJ,high,high,high,high
way,NN,way,way,way,way
selfsabotage,NN,selfsabotage,selfsabotag,selfsabotag,selfsabot
tilts,NNS,tilt,tilt,tilt,tilt
game,NN,game,game,game,gam
favor,NN,favor,favor,favor,fav
succeeds,VBZ,succeeds,succe,succeed,success
despite,IN,despite,despit,despit,despit
affirms,NNS,affirms,affirm,affirm,affirm
brilliance,NN,brilliance,brillianc,brillianc,bril
talent,NN,talent,talent,talent,tal
fails,VBZ,fails,fail,fail,fail
survives,NNS,survives,surviv,surviv,surv
unscathed,JJ,unscathed,unscath,unscath,unscath
nobody,NN,nobody,nobodi,nobodi,nobody
else,RB,else,els,els,els
playing,VBG,playing,play,play,play
impossible,JJ,impossible,imposs,imposs,imposs
game,NN,game,game,game,gam
means,VBZ,mean,mean,mean,mean
nobody,JJ,nobody,nobodi,nobodi,nobody
make,VB,make,make,make,mak
feel,NN,feel,feel,feel,feel
inferior,JJ,inferior,inferior,inferior,infery
worst,JJS,worst,worst,worst,worst
case,NN,case,case,case,cas
intentionally,RB,intentionally,intent,intent,int
fails,VBZ,fails,fail,fail,fail
better,RBR,better,better,better,bet
thinks,NNS,think,think,think,think
crash,VBP,crash,crash,crash,crash
burn,VBP,burn,burn,burn,burn
mistaken,VBN,mistaken,mistaken,mistaken,mistak
someone,NN,someone,someon,someon,someon
mediocre,NN,mediocre,mediocr,mediocr,mediocr
tirelessly,RB,tirelessly,tirelessli,tireless,tireless
finds,VBZ,find,find,find,find
excuses,NNS,excuse,excus,excus,excus
ward,IN,ward,ward,ward,ward
rising,VBG,rising,rise,rise,ris
anxiety,NN,anxiety,anxieti,anxieti,anxy
project,NN,project,project,project,project
would,MD,would,would,would,would
difficult,JJ,difficult,difficult,difficult,difficult
anyone,NN,anyone,anyon,anyon,anyon
genius,NN,genius,geniu,genius,geni
could,MD,could,could,could,could
figure,VB,figure,figur,figur,fig
never,RB,never,never,never,nev
really,RB,really,realli,realli,real
cared,JJ,cared,care,care,car
anyway,RB,anyway,anyway,anyway,anyway
work,NN,work,work,work,work
simply,RB,simply,simpli,simpli,simply
beneath,JJ,beneath,beneath,beneath,benea
lowest,JJS,lowest,lowest,lowest,lowest
blames,VBZ,blame,blame,blame,blam
others,NNS,others,other,other,oth
everything,NN,everything,everyth,everyth,everyth
would,MD,would,would,would,would
fine,VB,fine,fine,fine,fin
werent,NN,werent,werent,werent,wer
others,NNS,others,other,other,oth
surpass,VBP,surpass,surpass,surpass,surpass
dynamics,NNS,dynamic,dynam,dynam,dynam
different,JJ,different,differ,differ,diff
money,NN,money,money,money,money
better,RBR,better,better,better,bet
connections,NNS,connection,connect,connect,connect
savvier,JJR,savvier,savvier,savvier,savvy
teachers,NNS,teacher,teacher,teacher,teach
richer,JJR,richer,richer,richer,rich
opportunities,NNS,opportunity,opportun,opportun,opportun
game,NN,game,game,game,gam
rigged,VBD,rigged,rig,rig,rig
start,RB,start,start,start,start
primitive,JJ,primitive,primit,primit,primit
seethes,NNS,seethes,seeth,seeth,seeth
may,MD,may,may,may,may
intelligent,VB,intelligent,intellig,intellig,intellig
least,JJS,least,least,least,least
shes,NNS,shes,she,shes,she
deeper,JJR,deeper,deeper,deeper,deep
thinker,NN,thinker,thinker,thinker,think
ethical,JJ,ethical,ethic,ethic,eth
human,JJ,human,human,human,hum
selfawareness,NN,selfawareness,selfawar,selfawar,selfaw
balm,NN,balm,balm,balm,balm
becomes,VBZ,becomes,becom,becom,becom
part,NN,part,part,part,part
defense,NN,defense,defens,defens,defens
knows,VBZ,know,know,know,know
sure,JJ,sure,sure,sure,sur
personality,NN,personality,person,person,person
fault,NN,fault,fault,fault,fault
upbringing,JJ,upbringing,upbring,upbring,upbr
shes,NNS,shes,she,shes,she
idealist,VBP,idealist,idealist,idealist,id
shes,NNS,shes,she,shes,she
sagely,RB,sagely,sage,sage,sag
accepting,VBG,accepting,accept,accept,acceiv
tendency,NN,tendency,tendenc,tendenc,tend
justify,NN,justify,justifi,justifi,just
changing,VBG,changing,chang,chang,chang
therefore,NN,therefore,therefor,therefor,theref
chooses,NNS,chooses,choos,choos,choos
reinforces,VBZ,reinforces,reinforc,reinforc,reinforc
becomes,NNS,becomes,becom,becom,becom
cause,VBP,cause,caus,caus,caus
effect,NN,effect,effect,effect,effect
wont,NN,wont,wont,wont,wont
cant,JJ,cant,cant,cant,cant
take,VB,take,take,take,tak
action,NN,action,action,action,act
try,VB,try,tri,tri,try
whole,JJ,whole,whole,whole,whol
since,IN,since,sinc,sinc,sint
nothing,NN,nothing,noth,noth,noth
would,MD,would,would,would,would
excruciating,VBG,excruciating,excruci,excruci,excrucy
fail,VB,fail,fail,fail,fail
anyway,RB,anyway,anyway,anyway,anyway
must,MD,must,must,must,must
try,VB,try,tri,tri,try
effort,NN,effort,effort,effort,effort
woven,WRB,woven,woven,woven,wov
frustration,NN,frustration,frustrat,frustrat,frust
shame,NN,shame,shame,shame,sham
shorn,JJ,shorn,shorn,shorn,shorn
defenses,VBZ,defense,defens,defens,defens
suffers,NNS,suffers,suffer,suffer,suff
existentially,RB,existentially,existenti,existenti,ex
wagered,VBD,wagered,wager,wager,wag
selfworth,NN,selfworth,selfworth,selfworth,selfwor
lost,VBN,lost,lost,lost,lost
berates,NNS,berates,berat,berat,ber
stupid,JJ,stupid,stupid,stupid,stupid
cant,JJ,cant,cant,cant,cant
better,JJR,better,better,better,bet
copes,NNS,cope,cope,cope,cop
bitter,RBR,bitter,bitter,bitter,bit
result,NN,result,result,result,result
failure,NN,failure,failur,failur,fail
handle,NN,handle,handl,handl,handl
feels,VBZ,feel,feel,feel,feel
irrevocably,RB,irrevocably,irrevoc,irrevoc,irrevoc
worthless,JJ,worthless,worthless,worthless,worthless
enters,NNS,enters,enter,enter,ent
deeper,VBP,deeper,deeper,deeper,deep
hells,NNS,hell,hell,hell,hel
name,NN,name,name,name,nam
excuses,VBZ,excuse,excus,excus,excus
valid,JJ,valid,valid,valid,valid
right,RB,right,right,right,right
context,NN,context,context,context,context
thats,NNS,thats,that,that,that
makes,VBZ,make,make,make,mak
good,JJ,good,good,good,good
cover,NN,cover,cover,cover,cov
tell,NN,tell,tell,tell,tel
comes,VBZ,come,come,come,com
next,JJ,next,next,next,next
personality,NN,personality,person,person,person
therefore,RB,therefore,therefor,therefor,theref
response,NN,response,respons,respons,respons
therefore,NN,therefore,therefor,therefor,theref
doesnt,NN,doesnt,doesnt,doesnt,doesnt
need,VBP,need,need,need,nee
change,NN,change,chang,chang,chang
perfectionist,NN,perfectionist,perfectionist,perfectionist,perfect
fears,NNS,fear,fear,fear,fear
setbacks,VBZ,setback,setback,setback,setback
uncertainty,NN,uncertainty,uncertainti,uncertainti,uncertainty
true,JJ,true,true,true,tru
knowledge,NN,knowledge,knowledg,knowledg,knowledg
strengths,NNS,strength,strength,strength,strengths
weaknesses,VBZ,weakness,weak,weak,weak
failure,NN,failure,failur,failur,fail
cant,NN,cant,cant,cant,cant
blamed,VBD,blamed,blame,blame,blam
others,NNS,others,other,other,oth
anything,NN,anything,anyth,anyth,anyth
else,RB,else,els,els,els
threatens,VBZ,threatens,threaten,threaten,threatens
outcomes,NNS,outcome,outcom,outcom,outcom
fixed,VBN,fixed,fix,fix,fix
sense,NN,sense,sens,sens,sens
self,NN,self,self,self,self
deprives,VBZ,deprives,depriv,depriv,depr
explosive,JJ,explosive,explos,explos,explod
growth,NN,growth,growth,growth,grow
comes,VBZ,come,come,come,com
uncertainty,NN,uncertainty,uncertainti,uncertainti,uncertainty
struggle,NN,struggle,struggl,struggl,struggle
open,JJ,open,open,open,op
exploration,NN,exploration,explor,explor,expl
like,IN,like,like,like,lik
tree,NN,tree,tree,tree,tre
grows,NNS,grows,grow,grow,grow
large,JJ,large,larg,larg,larg
pot,NN,pot,pot,pot,pot
hews,NNS,hews,hew,hew,hew
familiar,JJ,familiar,familiar,familiar,famili
stunts,NNS,stunt,stunt,stunt,stunt
potential,JJ,potential,potenti,potenti,pot
theory,NN,theory,theori,theori,the
practice,NN,practice,practic,practic,pract
dreaming,VBG,dreaming,dream,dream,dream
acting,VBG,acting,act,act,act
resentment,NN,resentment,resent,resent,res
curiosity,NN,curiosity,curios,curios,curios
fantasy,NN,fantasy,fantasi,fantasi,fantasy
reality,NN,reality,realiti,realiti,real
dwells,VBZ,dwells,dwell,dwell,dwel
puddles,NNS,puddle,puddl,puddl,puddl
fear,VBP,fear,fear,fear,fear
ocean,JJ,ocean,ocean,ocean,oc
iii,JJ,iii,iii,iii,ii
pro,JJ,pro,pro,pro,pro
contra,FW,contra,contra,contra,contr
perfectionism,NN,perfectionism,perfection,perfection,perfect
endures,VBZ,endures,endur,endur,end
merits,NNS,merit,merit,merit,merit
must,MD,must,must,must,must
see,VB,see,see,see,see
clearly,RB,clearly,clearli,clear,clear
well,RB,well,well,well,wel
establishes,RB,establishes,establish,establish,est
high,JJ,high,high,high,high
standard,NN,standard,standard,standard,standard
feeds,NNS,feed,feed,feed,fee
source,NN,source,sourc,sourc,sourc
intense,JJ,intense,intens,intens,intens
energy,NN,energy,energi,energi,energy
ie,NNS,ie,ie,ie,ie
fear,VBP,fear,fear,fear,fear
losing,VBG,losing,lose,lose,los
identity,NN,identity,ident,ident,id
selfworth,NN,selfworth,selfworth,selfworth,selfwor
surprise,NN,surprise,surpris,surpris,surpr
worlds,NN,world,world,world,world
luminaries,NNS,luminary,luminari,luminari,lumin
made,VBN,made,made,made,mad
contracts,NNS,contract,contract,contract,contract
cost,VBN,cost,cost,cost,cost
contract,NN,contract,contract,contract,contract
present,JJ,present,present,present,pres
carl,NN,carl,carl,carl,carl
gauss,NN,gauss,gauss,gauss,gauss
set,VBN,set,set,set,set
mathematics,NNS,mathematics,mathemat,mathemat,mathem
back,RB,back,back,back,back
decades,NNS,decade,decad,decad,decad
contemporaries,NNS,contemporary,contemporari,contemporari,contemp
begged,VBD,begged,beg,beg,beg
relax,JJ,relax,relax,relax,relax
frigid,JJ,frigid,frigid,frigid,frigid
perfection,NN,perfection,perfect,perfect,perfect
mathematics,NNS,mathematics,mathemat,mathemat,mathem
might,MD,might,might,might,might
advance,VB,advance,advanc,advanc,adv
rapidly,RB,rapidly,rapidli,rapid,rapid
gauss,JJ,gauss,gauss,gauss,gauss
never,RB,never,never,never,nev
relaxed,VBP,relaxed,relax,relax,relax
divulged,VBD,divulged,divulg,divulg,divulg
knew,NNP,knew,knew,knew,knew
quite,RB,quite,quit,quit,quit
possible,JJ,possible,possibl,possibl,poss
mathematics,NNS,mathematics,mathemat,mathemat,mathem
would,MD,would,would,would,would
half,VB,half,half,half,half
century,NN,century,centuri,centuri,century
ahead,RB,ahead,ahead,ahead,ahead
et,RB,et,et,et,et
bell,VB,bell,bell,bell,bel
men,NNS,men,men,men,men
mathematics,NNS,mathematics,mathemat,mathemat,mathem
virgil,VBP,virgil,virgil,virgil,virgil
almost,RB,almost,almost,almost,almost
deprived,VBN,deprived,depriv,depriv,depr
world,NN,world,world,world,world
masterpiece,NN,masterpiece,masterpiec,masterpiec,masterpiec
last,JJ,last,last,last,last
illness,NN,illness,ill,ill,il
called,VBD,called,call,call,cal
cases,NNS,case,case,case,cas
containing,VBG,containing,contain,contain,contain
manuscripts,NNS,manuscript,manuscript,manuscript,manuscrib
intention,NN,intention,intent,intent,int
burning,VBG,burning,burn,burn,burn
aeneid,JJ,aeneid,aeneid,aeneid,aeneid
speaks,NNS,speaks,speak,speak,speak
felt,VBD,felt,felt,felt,felt
undertaking,JJ,undertaking,undertak,undertak,undertak
work,NN,work,work,work,work
mistake,NN,mistake,mistak,mistak,mistak
dissatisfaction,NN,dissatisfaction,dissatisfact,dissatisfact,dissatisfact
work,NN,work,work,work,work
may,MD,may,may,may,may
ascribed,VB,ascribed,ascrib,ascrib,ascrib
passion,NN,passion,passion,passion,pass
perfection,NN,perfection,perfect,perfect,perfect
workmanship,WRB,workmanship,workmanship,workmanship,workm
death,NN,death,death,death,dea
prevented,VBD,prevented,prevent,prevent,prev
attaining,VBG,attaining,attain,attain,attain
encyclopedia,NN,encyclopedia,encyclopedia,encyclopedia,encycloped
brittanica,NN,brittanica,brittanica,brittanica,brittanic
bill,NN,bill,bill,bill,bil
walsh,VBP,walsh,walsh,walsh,walsh
whose,WP$,whose,whose,whose,whos
coaching,VBG,coaching,coach,coach,coach
career,NN,career,career,career,car
utterly,JJ,utterly,utterli,utter,ut
destroyed,VBN,destroyed,destroy,destroy,destroy
would,MD,would,would,would,would
sit,VB,sit,sit,sit,sit
dazed,JJ,dazed,daze,daze,daz
hot,JJ,hot,hot,hot,hot
tub,NN,tub,tub,tub,tub
even,RB,even,even,even,ev
wins,VBZ,win,win,win,win
despondent,NN,despondent,despond,despond,despond
miscalculated,VBN,miscalculated,miscalcul,miscalcul,miscalc
play,NN,play,play,play,play
two,CD,two,two,two,two
tortured,VBD,tortured,tortur,tortur,tort
person,NN,person,person,person,person
walsh,NN,walsh,walsh,walsh,walsh
later,RB,later,later,later,lat
told,VBD,told,told,told,told
biographer,CC,biographer,biograph,biograph,biograph
harris,JJ,harris,harri,harri,har
felt,JJ,felt,felt,felt,felt
failure,NN,failure,failur,failur,fail
personally,RB,personally,person,person,person
eventually,RB,eventually,eventu,eventu,ev
couldnt,JJ,couldnt,couldnt,couldnt,couldnt
get,VB,get,get,get,get
cant,JJ,cant,cant,cant,cant
live,JJ,live,live,live,liv
way,NN,way,way,way,way
long,JJ,long,long,long,long
attack,JJ,attack,attack,attack,attack
part,NN,part,part,part,part
nervous,JJ,nervous,nervou,nervous,nerv
system,NN,system,system,system,system
many,JJ,many,mani,mani,many
times,NNS,time,time,time,tim
seth,VBP,seth,seth,seth,seth
