word,POS,lemma,porter,snowball,lancaster
wickersham,JJ,wickersham,wickersham,wickersham,wickersham
book,NN,book,book,book,book
coach,NN,coach,coach,coach,coach
im,NN,im,im,im,im
anywhere,RB,anywhere,anywher,anywher,anywh
near,IN,near,near,near,near
level,NN,level,level,level,level
people,NNS,people,peopl,peopl,peopl
right,RB,right,right,right,right
tell,VBP,tell,tell,tell,tel
live,JJ,live,live,live,liv
differently,RB,differently,differ,differ,diff
shudder,VBP,shudder,shudder,shudder,shud
think,VB,think,think,think,think
much,JJ,much,much,much,much
farther,NN,farther,farther,farther,farth
could,MD,could,could,could,could
gone,VBN,gone,gone,gone,gon
practiced,JJ,practiced,practic,practic,pract
better,JJR,better,better,better,bet
approach,NN,approach,approach,approach,approach
prosaically,RB,prosaically,prosaic,prosaic,prosa
tendency,JJ,tendency,tendenc,tendenc,tend
correlates,NNS,correlate,correl,correl,correl
stunning,VBG,stunning,stun,stun,stun
number,NN,number,number,number,numb
maladaptive,JJ,maladaptive,maladapt,maladapt,maladapt
patterns,NNS,pattern,pattern,pattern,pattern
often,RB,often,often,often,oft
cause,VBP,cause,caus,caus,caus
four,CD,four,four,four,four
procrastination,NN,procrastination,procrastin,procrastin,procrastin
fear,NN,fear,fear,fear,fear
failure,NN,failure,failur,failur,fail
delaying,VBG,delaying,delay,delay,delay
complex,JJ,complex,complex,complex,complex
uncertain,JJ,uncertain,uncertain,uncertain,uncertain
tasks,NNS,task,task,task,task
perfectionist,VBP,perfectionist,perfectionist,perfectionist,perfect
procrastinates,NNS,procrastinates,procrastin,procrastin,procrastin
avoid,VBP,avoid,avoid,avoid,avoid
confronting,VBG,confronting,confront,confront,confront
imperfection,NN,imperfection,imperfect,imperfect,imperfect
also,RB,also,also,also,also
slow,JJ,slow,slow,slow,slow
ask,NN,ask,ask,ask,ask
help,NN,help,help,help,help
would,MD,would,would,would,would
mean,VB,mean,mean,mean,mean
admitting,VBG,admitting,admit,admit,admit
shes,NNS,shes,she,shes,she
struggling,VBG,struggling,struggl,struggl,struggling
impostor,NN,impostor,impostor,impostor,impost
syndrome,JJ,syndrome,syndrom,syndrom,syndrom
fear,NN,fear,fear,fear,fear
found,VBD,found,found,found,found
judged,VBN,judged,judg,judg,judg
unworthy,JJ,unworthy,unworthi,unworthi,unworthy
smart,JJ,smart,smart,smart,smart
capable,JJ,capable,capabl,capabl,cap
good,JJ,good,good,good,good
enough,RB,enough,enough,enough,enough
meet,NN,meet,meet,meet,meet
ideal,JJ,ideal,ideal,ideal,id
standard,JJ,standard,standard,standard,standard
perfectionist,NN,perfectionist,perfectionist,perfectionist,perfect
blends,NNS,blend,blend,blend,blend
acts,VBZ,act,act,act,act
part,NN,part,part,part,part
fear,NN,fear,fear,fear,fear
found,VBD,found,found,found,found
rejected,VBD,rejected,reject,reject,reject
obsessive,JJ,obsessive,obsess,obsess,obsess
compulsion,NN,compulsion,compuls,compuls,compuls
full,JJ,full,full,full,ful
ocd,NN,ocd,ocd,ocd,ocd
milder,NN,milder,milder,milder,mild
forms,NNS,form,form,form,form
example,NN,example,exampl,exampl,exampl
recurring,VBG,recurring,recur,recur,recur
anxious,JJ,anxious,anxiou,anxious,anxy
fear,NN,fear,fear,fear,fear
inadequacy,NN,inadequacy,inadequaci,inadequaci,inadequ
leads,VBZ,lead,lead,lead,lead
selfsoothing,VBG,selfsoothing,selfsooth,selfsooth,selfsooth
response,NN,response,respons,respons,respons
scrolling,VBG,scrolling,scroll,scroll,scrolling
twitter,JJ,twitter,twitter,twitter,twit
hour,NN,hour,hour,hour,hour
burnout,IN,burnout,burnout,burnout,burnout
see,NN,see,see,see,see
kind,NN,kind,kind,kind,kind
ptsd,NN,ptsd,ptsd,ptsd,ptsd
defenseless,NN,defenseless,defenseless,defenseless,defenseless
perfectionist,NN,perfectionist,perfectionist,perfectionist,perfect
chronically,RB,chronically,chronic,chronic,chronically
fails,VBZ,fails,fail,fail,fail
live,JJ,live,live,live,liv
ideal,NN,ideal,ideal,ideal,id
endures,NNS,endures,endur,endur,end
deep,JJ,deep,deep,deep,deep
emotional,JJ,emotional,emot,emot,emot
trauma,NN,trauma,trauma,trauma,traum
worst,JJS,worst,worst,worst,worst
case,NN,case,case,case,cas
loses,VBZ,loses,lose,lose,los
sense,NN,sense,sens,sens,sens
selfworth,NN,selfworth,selfworth,selfworth,selfwor
perfectionism,NN,perfectionism,perfection,perfection,perfect
might,MD,might,might,might,might
restrict,VB,restrict,restrict,restrict,restrict
one,CD,one,one,one,on
domain,NN,domain,domain,domain,domain
core,NN,core,core,core,cor
tendencies,NNS,tendency,tendenc,tendenc,tend
tend,VBP,tend,tend,tend,tend
cut,VBN,cut,cut,cut,cut
across,IN,across,across,across,across
realms,NNS,realm,realm,realm,realm
life,NN,life,life,life,lif
quality,NN,quality,qualiti,qualiti,qual
makes,VBZ,make,make,make,mak
valuable,JJ,valuable,valuabl,valuabl,valu
insidious,JJ,insidious,insidi,insidi,insidy
iv,NN,iv,iv,iv,iv
alternative,JJ,alternative,altern,altern,altern
much,JJ,much,much,much,much
perfectionism,NN,perfectionism,perfection,perfection,perfect
learn,JJ,learn,learn,learn,learn
children,NNS,child,children,children,childr
choose,VBP,choose,choos,choos,choos
adults,NNS,adult,adult,adult,adult
extent,VBP,extent,extent,extent,ext
choose,JJ,choose,choos,choos,choos
fools,NNS,fool,fool,fool,fool
choice,NN,choice,choic,choic,cho
unlearn,JJ,unlearn,unlearn,unlearn,unlearn
perfectionism,NN,perfectionism,perfection,perfection,perfect
one,CD,one,one,one,on
alternative,NN,alternative,altern,altern,altern
similar,JJ,similar,similar,similar,simil
flavor,NN,flavor,flavor,flavor,flav
excellence,NN,excellence,excel,excel,excel
differs,NNS,differs,differ,differ,diff
two,CD,two,two,two,two
respects,NNS,respect,respect,respect,respect
perfectionism,NN,perfectionism,perfection,perfection,perfect
focuses,VBZ,focus,focus,focus,focus
achieving,VBG,achieving,achiev,achiev,achiev
excellence,NN,excellence,excel,excel,excel
focuses,NNS,focus,focus,focus,focus
pursuing,VBG,pursuing,pursu,pursu,pursu
success,NN,success,success,success,success
failure,NN,failure,failur,failur,fail
arent,JJ,arent,arent,arent,ar
ever,RB,ever,ever,ever,ev
full,JJ,full,full,full,ful
control,NN,control,control,control,control
control,NN,control,control,control,control
choose,VBP,choose,choos,choos,choos
right,JJ,right,right,right,right
moment,NN,moment,moment,moment,mom
attention,NN,attention,attent,attent,at
shifts,NNS,shift,shift,shift,shift
outcomes,RB,outcome,outcom,outcom,outcom
process,JJ,process,process,process,process
perfectionism,NN,perfectionism,perfection,perfection,perfect
focuses,VBZ,focus,focus,focus,focus
fixed,VBN,fixed,fix,fix,fix
outcomes,NNS,outcome,outcom,outcom,outcom
excellence,VBP,excellence,excel,excel,excel
focuses,NNS,focus,focus,focus,focus
better,RBR,better,better,better,bet
outcomes,RB,outcome,outcom,outcom,outcom
real,JJ,real,real,real,real
situation,NN,situation,situat,situat,situ
always,RB,always,alway,alway,alway
improved,VBN,improved,improv,improv,improv
since,IN,since,sinc,sinc,sint
perfect,JJ,perfect,perfect,perfect,perfect
outcome,NN,outcome,outcom,outcom,outcom
perfection,NN,perfection,perfect,perfect,perfect
impossible,JJ,impossible,imposs,imposs,imposs
lets,NNS,let,let,let,let
see,VBP,see,see,see,see
tendency,NN,tendency,tendenc,tendenc,tend
clearly,RB,clearly,clearli,clear,clear
revisit,JJ,revisit,revisit,revisit,revisit
perfectionist,NN,perfectionist,perfectionist,perfectionist,perfect
earlier,RBR,earlier,earlier,earlier,ear
former,JJ,former,former,former,form
perfectionist,NN,perfectionist,perfectionist,perfectionist,perfect
prides,NNS,pride,pride,pride,prid
working,VBG,working,work,work,work
hard,RB,hard,hard,hard,hard
paying,VBG,paying,pay,pay,pay
attention,NN,attention,attent,attent,at
present,JJ,present,present,present,pres
feels,NNS,feel,feel,feel,feel
great,JJ,great,great,great,gre
satisfaction,NN,satisfaction,satisfact,satisfact,satisfact
starts,VBZ,start,start,start,start
new,JJ,new,new,new,new
projects,NNS,project,project,project,project
steady,JJ,steady,steadi,steadi,steady
confidence,NN,confidence,confid,confid,confid
endures,NNS,endures,endur,endur,end
regardless,JJ,regardless,regardless,regardless,regardless
difficulties,NNS,difficulty,difficulti,difficulti,difficul
underfoot,JJ,underfoot,underfoot,underfoot,underfoot
work,NN,work,work,work,work
uncertain,JJ,uncertain,uncertain,uncertain,uncertain
persists,NNS,persists,persist,persist,persist
uncertainty,NN,uncertainty,uncertainti,uncertainti,uncertainty
unknown,RB,unknown,unknown,unknown,unknown
longer,RB,longer,longer,longer,long
threat,NN,threat,threat,threat,threat
matter,NN,matter,matter,matter,mat
focuses,VBZ,focus,focus,focus,focus
taking,VBG,taking,take,take,tak
next,JJ,next,next,next,next
step,NN,step,step,step,step
since,IN,since,sinc,sinc,sint
embraces,NNS,embrace,embrac,embrac,embrac
imperfection,VBP,imperfection,imperfect,imperfect,imperfect
gives,VBZ,give,give,give,giv
sincere,JJ,sincere,sincer,sincer,sint
effort,NN,effort,effort,effort,effort
regardless,RB,regardless,regardless,regardless,regardless
motivated,VBD,motivated,motiv,motiv,mot
feels,NNS,feel,feel,feel,feel
lifes,JJ,life,life,life,lif
little,JJ,little,littl,littl,littl
difficulties,NNS,difficulty,difficulti,difficulti,difficul
enough,RB,enough,enough,enough,enough
deter,VBP,deter,deter,deter,det
project,JJ,project,project,project,project
hard,JJ,hard,hard,hard,hard
enough,RB,enough,enough,enough,enough
setbacks,NNS,setback,setback,setback,setback
failures,NNS,failure,failur,failur,fail
inevitable,JJ,inevitable,inevit,inevit,inevit
learns,NNS,learns,learn,learn,learn
much,RB,much,much,much,much
treats,NNS,treat,treat,treat,tre
like,IN,like,like,like,lik
precious,JJ,precious,preciou,precious,precy
friends,NNS,friend,friend,friend,friend
arent,JJ,arent,arent,arent,ar
exactly,RB,exactly,exactli,exact,exact
pleasant,VBP,pleasant,pleasant,pleasant,pleas
show,NN,show,show,show,show
improve,VB,improve,improv,improv,improv
grow,NN,grow,grow,grow,grow
hasnt,NN,hasnt,hasnt,hasnt,hasnt
failed,VBD,failed,fail,fail,fail
recently,RB,recently,recent,recent,rec
knows,VBZ,know,know,know,know
shes,NNS,shes,she,shes,she
playing,VBG,playing,play,play,play
safe,JJ,safe,safe,safe,saf
feels,NNS,feel,feel,feel,feel
stuck,VBN,stuck,stuck,stuck,stuck
problem,NN,problem,problem,problem,problem
asking,VBG,asking,ask,ask,ask
help,NN,help,help,help,help
advice,NN,advice,advic,advic,adv
may,MD,may,may,may,may
feel,VB,feel,feel,feel,feel
usual,JJ,usual,usual,usual,us
anxieties,NNS,anxiety,anxieti,anxieti,anxy
stresses,VBZ,stress,stress,stress,stresses
big,JJ,big,big,big,big
project,NN,project,project,project,project
worries,NNS,worry,worri,worri,worry
longer,RBR,longer,longer,longer,long
selfinflicted,VBN,selfinflicted,selfinflict,selfinflict,selfinflict
general,JJ,general,gener,general,gen
serene,NN,serene,seren,seren,ser
steady,JJ,steady,steadi,steadi,steady
feels,NNS,feel,feel,feel,feel
work,VBP,work,work,work,work
good,JJ,good,good,good,good
enough,RB,enough,enough,enough,enough
completes,VBZ,completes,complet,complet,complet
moves,NNS,move,move,move,mov
others,NNS,others,other,other,oth
achieve,VBP,achieve,achiev,achiev,achiev
better,JJR,better,better,better,bet
outcomes,NNS,outcome,outcom,outcom,outcom
responds,VBZ,responds,respond,respond,respond
openness,JJ,openness,open,open,op
curiosity,NN,curiosity,curios,curios,curios
something,NN,something,someth,someth,someth
learn,VBP,learn,learn,learn,learn
gladly,RB,gladly,gladli,glad,glad
absorbs,JJ,absorbs,absorb,absorb,absorb
lesson,NN,lesson,lesson,lesson,lesson
illwill,NN,illwill,illwil,illwil,illwil
focuses,VBZ,focus,focus,focus,focus
control,VB,control,control,control,control
pursuit,NN,pursuit,pursuit,pursuit,pursuit
outcome,NN,outcome,outcom,outcom,outcom
opts,NNS,opts,opt,opt,opt
comparison,JJ,comparison,comparison,comparison,comparison
game,NN,game,game,game,gam
always,RB,always,alway,alway,alway
rooted,VBN,rooted,root,root,root
reality,NN,reality,realiti,realiti,real
moment,NN,moment,moment,moment,mom
process,NN,process,process,process,process
outcomes,RB,outcome,outcom,outcom,outcom
systems,NNS,system,system,system,system
goals,NNS,goal,goal,goal,goal
growth,NN,growth,growth,growth,grow
mindset,VBP,mindset,mindset,mindset,mindset
fixed,VBN,fixed,fix,fix,fix
mindset,NN,mindset,mindset,mindset,mindset
satisficing,VBG,satisficing,satisf,satisf,satisf
maximizing,VBG,maximizing,maxim,maxim,maxim
professionalism,NN,professionalism,profession,profession,profess
amateurism,NN,amateurism,amateur,amateur,am
boring,VBG,boring,bore,bore,bor
fundamentals,NNS,fundamental,fundament,fundament,funda
flashy,JJ,flashy,flashi,flashi,flashy
tricks,NNS,trick,trick,trick,trick
response,NN,response,respons,respons,respons
reaction,NN,reaction,reaction,reaction,react
agency,NN,agency,agenc,agenc,ag
passivity,NN,passivity,passiv,passiv,pass
presence,NN,presence,presenc,presenc,pres
regret,NN,regret,regret,regret,regret
worry,VBP,worry,worri,worri,worry
matter,NN,matter,matter,matter,mat
call,NN,call,call,call,cal
distinction,NN,distinction,distinct,distinct,distinct
dont,NN,dont,dont,dont,dont
claim,NN,claim,claim,claim,claim
getting,VBG,getting,get,get,get
easy,JJ,easy,easi,easi,easy
hardly,RB,hardly,hardli,hard,hard
expert,VBP,expert,expert,expert,expert
possible,JJ,possible,possibl,possibl,poss
put,NN,put,put,put,put
work,NN,work,work,work,work
enough,JJ,enough,enough,enough,enough
time,NN,time,time,time,tim
practice,NN,practice,practic,practic,pract
becomes,VBZ,becomes,becom,becom,becom
automatic,JJ,automatic,automat,automat,autom
v,JJ,v,v,v,v
way,NN,way,way,way,way
cruel,NN,cruel,cruel,cruel,cruel
paradox,NN,paradox,paradox,paradox,paradox
preconditions,NNS,precondition,precondit,precondit,precondit
meaningful,JJ,meaningful,meaning,meaning,mean
change,NN,change,chang,chang,chang
wanting,VBG,wanting,want,want,want
change,NN,change,chang,chang,chang
believing,VBG,believing,believ,believ,believ
change,NN,change,chang,chang,chang
possible,JJ,possible,possibl,possibl,poss
committing,NN,committing,commit,commit,commit
regular,JJ,regular,regular,regular,regul
practice,NN,practice,practic,practic,pract
run,NN,run,run,run,run
tendency,NN,tendency,tendenc,tendenc,tend
enough,JJ,enough,enough,enough,enough
selfinsight,NN,selfinsight,selfinsight,selfinsight,selfinsight
enough,RB,enough,enough,enough,enough
selfinflicted,VBD,selfinflicted,selfinflict,selfinflict,selfinflict
suffering,VBG,suffering,suffer,suffer,suff
perfectionist,NN,perfectionist,perfectionist,perfectionist,perfect
arrive,JJ,arrive,arriv,arriv,ar
broadly,RB,broadly,broadli,broad,broad
speaking,VBG,speaking,speak,speak,speak
way,NN,way,way,way,way
three,CD,three,three,three,three
parts,NNS,part,part,part,part
first,RB,first,first,first,first
train,VBP,train,train,train,train
mind,NN,mind,mind,mind,mind
see,VBP,see,see,see,see
endure,NN,endure,endur,endur,end
imperfect,JJ,imperfect,imperfect,imperfect,imperfect
reality,NN,reality,realiti,realiti,real
psychological,JJ,psychological,psycholog,psycholog,psycholog
literature,NN,literature,literatur,literatur,lit
recommends,VBZ,recommends,recommend,recommend,recommend
various,JJ,various,variou,various,vary
treatment,NN,treatment,treatment,treatment,tre
options,NNS,option,option,option,opt
depending,VBG,depending,depend,depend,depend
situation,NN,situation,situat,situat,situ
three,CD,three,three,three,three
cognitivebehavioral,JJ,cognitivebehavioral,cognitivebehavior,cognitivebehavior,cognitivebehavy
therapy,NN,therapy,therapi,therapi,therapy
trains,NNS,train,train,train,train
mind,VBP,mind,mind,mind,mind
challenge,NN,challenge,challeng,challeng,challeng
distorted,VBN,distorted,distort,distort,distort
thoughts,NNS,thought,thought,thought,thought
related,JJ,related,relat,relat,rel
perfectionism,NN,perfectionism,perfection,perfection,perfect
eg,NN,eg,eg,eg,eg
im,JJ,im,im,im,im
failure,NN,failure,failur,failur,fail
might,MD,might,might,might,might
fail,VB,fail,fail,fail,fail
im,JJ,im,im,im,im
successful,JJ,successful,success,success,success
ways,NNS,way,way,way,way
exposure,VBP,exposure,exposur,exposur,expos
response,NN,response,respons,respons,respons
prevention,NN,prevention,prevent,prevent,prev
trains,NNS,train,train,train,train
mind,VB,mind,mind,mind,mind
tolerate,NN,tolerate,toler,toler,tol
reduce,VB,reduce,reduc,reduc,reduc
mental,JJ,mental,mental,mental,ment
distress,NN,distress,distress,distress,distress
repeatedly,RB,repeatedly,repeatedli,repeat,rep
facing,VBG,facing,face,face,fac
distressing,VBG,distressing,distress,distress,distress
thought,VBN,thought,thought,thought,thought
eg,JJ,eg,eg,eg,eg
im,NN,im,im,im,im
going,VBG,going,go,go,going
fail,JJ,fail,fail,fail,fail
yes,NNS,yes,ye,yes,ye
maybe,RB,maybe,mayb,mayb,mayb
mindfulness,JJ,mindfulness,mind,mind,mind
meditation,NN,meditation,medit,medit,medit
trains,NNS,train,train,train,train
mind,VBP,mind,mind,mind,mind
engage,JJ,engage,engag,engag,eng
thoughts,NNS,thought,thought,thought,thought
nonreactively,RB,nonreactively,nonreact,nonreact,nonreact
eg,VBP,eg,eg,eg,eg
im,NN,im,im,im,im
going,VBG,going,go,go,going
fail,JJ,fail,fail,fail,fail
thought,VBN,thought,thought,thought,thought
failure,NN,failure,failur,failur,fail
arising,VBG,arising,aris,aris,ar
second,JJ,second,second,second,second
train,NN,train,train,train,train
mind,NN,mind,mind,mind,mind
change,NN,change,chang,chang,chang
stores,NNS,store,store,store,stor
selfworth,VBP,selfworth,selfworth,selfworth,selfwor
practicing,VBG,practicing,practic,practic,pract
selfcompassion,NN,selfcompassion,selfcompass,selfcompass,selfcompass
daily,RB,daily,daili,daili,dai
gratitude,VBP,gratitude,gratitud,gratitud,gratitud
journaling,VBG,journaling,journal,journal,journ
simple,JJ,simple,simpl,simpl,simpl
place,JJ,place,place,place,plac
start,NN,start,start,start,start
third,JJ,third,third,third,third
practice,NN,practice,practic,practic,pract
alternative,JJ,alternative,altern,altern,altern
make,VBP,make,make,make,mak
habitual,JJ,habitual,habitu,habitu,habit
deeply,NN,deeply,deepli,deepli,deeply
learned,VBD,learned,learn,learn,learn
habits,NNS,habit,habit,habit,habit
must,MD,must,must,must,must
deeply,VB,deeply,deepli,deepli,deeply
unlearned,JJ,unlearned,unlearn,unlearn,unlearn
means,NNS,mean,mean,mean,mean
practicing,VBG,practicing,practic,practic,pract
alternative,JJ,alternative,altern,altern,altern
often,RB,often,often,often,oft
mindfulness,JJ,mindfulness,mind,mind,mind
meditation,NN,meditation,medit,medit,medit
help,NN,help,help,help,help
build,VB,build,build,build,build
metaawareness,NN,metaawareness,metaawar,metaawar,metaaw
necessary,JJ,necessary,necessari,necessari,necess
first,RB,first,first,first,first
may,MD,may,may,may,may
feel,VB,feel,feel,feel,feel
unnatural,JJ,unnatural,unnatur,unnatur,un
fake,JJ,fake,fake,fake,fak
progress,NN,progress,progress,progress,progress
may,MD,may,may,may,may
slow,VB,slow,slow,slow,slow
enough,RB,enough,enough,enough,enough
training,NN,training,train,train,train
feels,NNS,feel,feel,feel,feel
useless,JJ,useless,useless,useless,useless
must,MD,must,must,must,must
persist,VB,persist,persist,persist,persist
trusted,JJ,trusted,trust,trust,trust
friend,NN,friend,friend,friend,friend
mentor,NN,mentor,mentor,mentor,ment
therapist,NN,therapist,therapist,therapist,therap
help,NN,help,help,help,help
keep,VB,keep,keep,keep,keep
accountable,JJ,accountable,account,account,account
specific,JJ,specific,specif,specif,spec
resources,NNS,resource,resourc,resourc,resourc
use,VBP,use,use,use,us
take,VB,take,take,take,tak
next,JJ,next,next,next,next
step,NN,step,step,step,step
classic,JJ,classic,classic,classic,class
book,NN,book,book,book,book
cognitivebehavioral,JJ,cognitivebehavioral,cognitivebehavior,cognitivebehavior,cognitivebehavy
therapy,NN,therapy,therapi,therapi,therapy
basic,JJ,basic,basic,basic,bas
meditation,NN,meditation,medit,medit,medit
guide,VB,guide,guid,guid,guid
new,JJ,new,new,new,new
york,NN,york,york,york,york
times,NNS,time,time,time,tim
gratitude,VBP,gratitude,gratitud,gratitud,gratitud
journaling,VBG,journaling,journal,journal,journ
guide,NN,guide,guid,guid,guid
uc,JJ,uc,uc,uc,uc
berkeley,NN,berkeley,berkeley,berkeley,berkeley
perfectionists,NNS,perfectionist,perfectionist,perfectionist,perfect
reading,VBG,reading,read,read,read
ive,JJ,ive,ive,ive,iv
around,IN,around,around,around,around
internet,JJ,internet,internet,internet,internet
grieves,NNS,grief,griev,griev,griev
know,VBP,know,know,know,know
next,JJ,next,next,next,next
nothing,NN,nothing,noth,noth,noth
something,NN,something,someth,someth,someth
concrete,NN,concrete,concret,concret,concret
right,RB,right,right,right,right
write,JJ,write,write,write,writ
email,NN,email,email,email,email
myfirstname,NN,myfirstname,myfirstnam,myfirstnam,myfirstnam
gmail,NN,gmail,gmail,gmail,gmail
set,VBN,set,set,set,set
timer,NN,timer,timer,timer,tim
minutes,NNS,minute,minut,minut,minut
write,VBP,write,write,write,writ
little,JJ,little,littl,littl,littl
much,JJ,much,much,much,much
want,NN,want,want,want,want
time,NN,time,time,time,tim
send,VB,send,send,send,send
one,CD,one,one,one,on
small,JJ,small,small,small,smal
act,NN,act,act,act,act
stepping,VBG,stepping,step,step,step
unknown,JJ,unknown,unknown,unknown,unknown
simple,JJ,simple,simpl,simpl,simpl
sounds,VBZ,sound,sound,sound,sound
way,NN,way,way,way,way
thats,NNS,thats,that,that,that
takes,VBZ,take,take,take,tak
get,NN,get,get,get,get
started,VBD,started,start,start,start
